id,LotArea,OverallCond,YearBuilt,X1stFlrSF,X2ndFlrSF,BsmtFullBath,FullBath,TotRmsAbvGrd,GarageCars,SalePrice,employee_id
1,8450,5,2003,856,854,1,2,8,2,208500,1
2,9600,8,1976,1262,0,0,2,6,2,181500,1
3,11250,5,2001,920,866,1,2,6,2,223500,1
4,9550,5,1915,961,756,1,1,7,3,140000,1
5,14260,5,2000,1145,1053,1,2,9,3,250000,1
6,14115,5,1993,796,566,1,1,5,2,143000,1
7,10084,5,2004,1694,0,1,2,7,2,307000,1
8,10382,6,1973,1107,983,1,2,7,2,200000,1
9,6120,5,1931,1022,752,0,2,8,2,129900,1
10,7420,6,1939,1077,0,1,1,5,1,118000,1
11,11200,5,1965,1040,0,1,1,5,1,129500,1
12,11924,5,2005,1182,1142,1,3,11,3,345000,1
13,12968,6,1962,912,0,1,1,4,1,144000,1
14,10652,5,2006,1494,0,0,2,7,3,279500,1
15,10920,5,1960,1253,0,1,1,5,1,157000,1
16,6120,8,1929,854,0,0,1,5,2,132000,1
17,11241,7,1970,1004,0,1,1,5,2,149000,1
18,10791,5,1967,1296,0,0,2,6,2,90000,1
19,13695,5,2004,1114,0,1,1,6,2,159000,1
20,7560,6,1958,1339,0,0,1,6,1,139000,1
21,14215,5,2005,1158,1218,0,3,9,3,325300,1
22,7449,7,1930,1108,0,0,1,6,1,139400,1
23,9742,5,2002,1795,0,0,2,7,2,230000,1
24,4224,7,1976,1060,0,1,1,6,2,129900,1
25,8246,8,1968,1060,0,1,1,6,1,154000,1
26,14230,5,2007,1600,0,0,2,7,3,256300,1
27,7200,7,1951,900,0,0,1,5,2,134800,1
28,11478,5,2007,1704,0,1,2,7,3,306000,1
29,16321,6,1957,1600,0,1,1,6,1,207500,1
30,6324,6,1927,520,0,0,1,4,1,68500,1
31,8500,4,1920,649,668,0,1,6,1,40000,1
32,8544,6,1966,1228,0,0,1,6,1,149350,1
33,11049,5,2007,1234,0,0,2,7,2,179900,1
34,10552,5,1959,1700,0,0,1,6,2,165500,1
35,7313,5,2005,1561,0,1,2,6,2,277500,1
36,13418,5,2004,1132,1320,0,3,9,3,309000,1
37,10859,5,1994,1097,0,0,1,6,2,145000,1
38,8532,6,1954,1297,0,0,1,5,2,153000,1
39,7922,7,1953,1057,0,1,1,5,1,109000,1
40,6040,5,1955,1152,0,0,2,6,0,82000,1
41,8658,5,1965,1324,0,0,2,6,2,160000,1
42,16905,6,1959,1328,0,0,1,5,1,170000,1
43,9180,7,1983,884,0,1,1,5,2,144000,1
44,9200,6,1975,938,0,1,1,5,1,130250,1
45,7945,6,1959,1150,0,1,1,6,1,141000,1
46,7658,5,2005,1752,0,1,2,6,2,319900,1
47,12822,5,2003,1518,631,1,1,6,2,239686,1
48,11096,5,2006,1656,0,0,2,7,3,249700,1
49,4456,5,1920,736,716,0,2,8,0,113000,1
50,7742,7,1966,955,0,1,1,6,1,127000,1
51,13869,6,1997,794,676,0,2,6,2,177000,1
52,6240,6,1934,816,0,0,1,6,2,114500,1
